twitter,url,name,location
thealligator,https://www.alligator.org/,Alligator,Gainesville
theappeal,https://theappeal.org/,Appeal,New York City
theaspentimes,https://www.aspentimes.com/,Aspen Times,Aspen
theathletic,https://theathletic.com/,Athletic,New York City
theatlantic,https://www.theatlantic.com/,Atlantic,Washington
thebabylonbee,https://babylonbee.com/,Babylon Bee,Jupiter
thebafflermag,https://thebaffler.com/,Baffler,New York City
theblaze,https://www.theblaze.com/,Blaze,Irving
theblock__,https://www.theblock.co/,Block,New York City
thebuffalonews,https://buffalonews.com/,Buffalo News,Buffalo
thecityny,https://www.thecity.nyc/,The City,New York City
thecut,https://www.thecut.com/,The Cut,New York City
thedailybeast,https://www.thedailybeast.com/,Daily Beast,New York City
thedailyclimate,https://www.dailyclimate.org/,Daily Climate,Bozeman
thedailyherald,https://www.columbiadailyherald.com/,The Daily Herald,Columbia
thedailyjournal,https://www.thedailyjournal.com/,Vineland Daily Journal,Vineland
thedailyrecord,https://www.the-daily-record.com/,The Daily Record,Wooster
thedailytimes,https://www.daily-times.com/,Farmington Daily Times,Farmington
thedbk,https://dbknews.com/,The Diamondback,College Park
thedepaulia,https://depauliaonline.com/,DePaulia,Chicago
thedispatch,https://thedispatch.com/,Dispatch,Washington
theeveningsun,https://www.eveningsun.com/,Hanover Evening Sun,York
thegleanernews,https://www.thegleaner.com/,The Gleaner,Henderson
thegrio,https://thegrio.com/,Grio,New York City
thehawkeye,https://www.thehawkeye.com/,The Hawk Eye,Burlington
theherald_sun,http://www.heraldsun.com,The Herald-Sun,Raleigh
theheraldtimes,https://www.heraldtimesonline.com/,The Herald-Times,Bloomington
thehill,https://thehill.com/,The Hill,Washington
theinformation,https://www.theinformation.com/,The Information,Silicon Valley
theintellnews,https://www.theintell.com/,The Intelligencer,Doylestown
theintercept,https://theintercept.com/,Intercept,New York City
thejaxtrib,https://jaxtrib.org/,Tributary,Jacksonville
thelasentinel,https://lasentinel.net/,Los Angeles Sentinel,Los Angeles
theledger,https://www.theledger.com/,The Lakeland Ledger,Lakeland
thelensnola,http://thelensnola.org/,Lens,New Orleans
themarionstar,https://www.marionstar.com/,Marion Star,Marion
themarkup,https://themarkup.org/,The Markup,New York City
themendovoice,https://mendovoice.com/,Mendoncino Voice,Ukiah
thenation,https://www.thenation.com/,The Nation,New York City
thenewmexican,https://www.santafenewmexican.com/,Santa Fe New Mexican,Sante Fe
thenewportdaily,https://www.newportri.com/,The Newport Daily News,Newport
thenewspress,https://www.news-press.com/,Fort Myers News-Press,Fort Myers
thenewsstar,https://www.thenewsstar.com/,Monroe News-Star,Monroe
thenewstribune,http://www.thenewstribune.com,The News Tribune,Tacoma
theobserver,https://www.charlotteobserver.com/,Charlotte Observer,Charlotte
theoklahoman_,https://www.oklahoman.com/,Oklahoman,Oklahoma City
theolympian,http://www.theolympian.com,The Olympian,Olympia
theonion,https://theonion.com,Onion,Chicago
thepearlpost,https://www.thepearlpost.com/,Pearl Post,Lake Balboa
theperrychief,https://www.theperrychief.com/,Perry Chief,Perry
thephilacitizen,https://thephiladelphiacitizen.org/,Philadelphia Citizen,Philadelphia
thepostregister,https://www.postregister.com/,The Post Register,Idaho Falls
theprospect,https://prospect.org/,American Prospect,Washington
thepupnews,https://www.unionprogress.com/,Pittsburgh Union Progress,Pittsburgh
therealnews,https://therealnews.com/,Real News,Baltimore
therecordherald,https://www.therecordherald.com/,Waynesboro Record Herald,Waynesboro
theroot,https://www.theroot.com/,Root,New York City
thestarpress,https://www.thestarpress.com/,Muncie Star Press,Muncie
thestate,http://www.thestate.com,The State,"1927 Thurmond Mall, Suite 102, Columbia, SC 29201"
thesunnews,http://www.myrtlebeachonline.com,Sun News,Myrtle Beach
thetimesnews,https://www.thetimesnews.com/,Burlington Times-News,Burlington
thetriibe,https://thetriibe.com/,The TriiBE,Chicago
thevdt,https://www.valdostadailytimes.com,Valdosta Daily Times,Valdosta
theweek,https://theweek.com/,The Week,New York City
thewrap,https://www.thewrap.com/,Wrap,Los Angeles
thr,https://www.hollywoodreporter.com/,Hollywood Reporter,Los Angeles
thv11,https://www.thv11.com/,THV 11,Little Rock
tiftongazette1,https://www.tiftongazette.com,Tifton Gazette,Tifton
time,https://time.com/,TIME,New York City
times_mail,https://www.reporter-times.com/,Times Mail,Martinsville
timesenterprise,https://www.timesenterprise.com,The Times-Enterprise,Thomasville
timesgazette,https://www.times-gazette.com/,Ashland Times Gazette,Ashland
timesherald,https://www.times-herald.com,The Newnan Times-Herald,Newnan
